call_id,function_id,function_name,value_id,formal_parameter_position,actual_argument_position,argument_type,expression_type,value_type,default,dot_dot_dot,preforce,direct_force,direct_lookup_count,direct_metaprogram_count,indirect_force,indirect_lookup_count,indirect_metaprogram_count,S3_dispatch,S4_dispatch,forcing_actual_argument_position,non_local_return,execution_time,expression
636,TY1fycIl7NN9h006kMV+zg==,(base::exists),465,2,2,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
636,TY1fycIl7NN9h006kMV+zg==,(base::exists),466,3,3,Missing,Unassigned,Unassigned,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
636,TY1fycIl7NN9h006kMV+zg==,(base::exists),467,4,4,Promise,Character,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
636,TY1fycIl7NN9h006kMV+zg==,(base::exists),468,5,5,Promise,Logical,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
642,EDQFzPNkKTGgJLS5HYLNaA==,(base::parent.env),469,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
644,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),470,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
644,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),471,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
644,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),472,2,2,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
644,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),473,3,3,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
644,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),474,4,4,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
